year,bioenergy,biofuels,biogas,ren_mun_waste,renewables,solid_biomass,total
2002,"62195,918832","758,983104","5561,996328","25510,004928","65345,43913200001","28695,992256000005","3394726,103520001"
2003,"59282,366579999994","36,006479999999996","5392,012248","25059,002832","63902,374776","27228,979404","3513512,234664"
2004,"68960,322252","3971,012328","5284,997640000001","26066,011968000006","75728,57752800001","31921,000560000004","3553171,0696440004"
2005,"88970,462964","14160,678696","5095,000656","26658,988452","95060,28916799999","39743,99449200001","3504431,9028240005"
2006,"92946,33198000002","18219,948768","5879,020824","26615,990016","101466,135036","38620,006164","3477196,9362960006"
2007,"92962,534896","16292,9322","7152,9803280000015","27844,983288000003","106159,16102400002","39836,020356","3464443,8178919996"
2008,"106175,866356","17190,121572","9258,019632","30548,9862","123060,267792","47503,01412","3439547,1372960005"
2009,"118456,336908","17621,906256000002","10939,019832","32441,001120000004","138665,476224","57309,002136","3372272,5044600004"
2010,"119589,829272","10646,739324","11984,003244","34207,998192","138777,89180399998","62864,00650800001","3607083,614016"
2011,"124237,512216","13595,795640000002","11968,009668","37359,988704","147161,498256","60574,999212","3372831,4841279997"
2012,"129452,04601199999","14016,98772","12164,998608","39793,984884","151589,37420000002","61149,00949200001","3374834,742324"
2013,"119281,05277200001","13377,998304","12776,983164","40688,99712","147268,76407200002","51714,013824","3311936,7389999996"
2014,"114874,90632000001","15695,978256","13094,00766","40264,999884","147385,073376","46549,009872","3139923,4007759998"
2015,"114797,82733199999","13438,958112000002","13693,013136","40770,0117","155512,154592","46597,995432","3189526,1369640008"
2016,"114483,273048","10746,678240000001","13339,019196","42281,990783999994","160815,95096400002","48155,94558","3254791,94316"
2017,"118200,77463600002","13891,509324","13432,217363999998","40415,30600400001","175994,02206000005","49975,989408","3307366,0513080005"
2018,"129750,062436","25467,215831999998","13655,290068","38656,808136","193631,1264","50059,390464","3261348,430092"
