year,bioenergy,biofuels,biogas,ren_mun_waste,renewables,solid_biomass,total
2002,"164661,6105","0,0","1353,0062880000005","10,006452000000001","173425,00157999998","163374,00202800002","3718831,441284"
2003,"166789,63533599998","1181,3893560000001","1624,0178520000004","13,983912000000002","173673,40442400007","164079,980244","3815916,1319879997"
2004,"172360,17273600007","563,8363559999999","1941,00048","12,97908","180902,41704","170056,009224","3830232,3503040005"
2005,"178559,98617600003","2244,501612","2242,994364","30,019356","187841,368152","174431,00588399998","3876204,3354"
2006,"187260,28218","4071,537396","2612,9818800000003","30,019356","196567,915392","181034,008164","4083749,328636"
2007,"190851,92856","4425,196392000002","2707,9803720000004","35,001647999999996","201960,55565999998","183992,987196","4067977,6949040005"
2008,"221360,09346000003","18480,242124","4025,985012000001","9,001619999999999","232761,50348400002","198901,00969200002","4114968,3703080006"
2009,"247818,28298400002","26655,05286","4103,985096","29,014524","262314,86864400003","217301,995692","3945710,574504"
2010,"286657,55186400004","36326,56086000001","4796,984232","123,008184","305381,382012","245606,01973200002","4253095,382184"
2011,"310435,01708400005","38354,563044","5731,980407999999","1338,017544","333527,940504","265888,00936799997","4255406,914464002"
2012,"334122,96852000005","33804,809352000004","7032,986640000001","1359,998244","361912,2255","292561,98656399996","4092962,423904"
2013,"325678,6116","31304,829204000005","7593,013008","1390,980564","360332,12718","286243,016796","4121843,849532"
2014,"323089,70382","29536,157412000004","8685,014184","1544,008104","362283,469056","282835,003464","3967330,2048720005"
2015,"326806,87046400004","27421,320996","9580,989384","1673,0034120000007","377613,14418","288203,988312","4010302,6827120003"
2016,"310228,98465600004","19226,20428","10930,018212","2555,9995320000007","368685,128124","277172,984484","4206818,723652"
2017,"306818,1243","25404,497568000006","11747,155968","3870,780336","375580,913328","265482,308448","4402377,662112"
2018,"321006,22653600003","38281,628988","12072,093515999999","4116,754836","380337,66241200006","265745,741904","4470832,344528"
