country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
CZ,2002,bioenergy,"74042,804376","227,217636","1659,6475200000002","72605,18286","-0,019729030732724195"
CZ,2003,bioenergy,"76997,512872","1294,265484","6993,337644","71296,17984000001","-0,07993516865545428"
CZ,2004,bioenergy,"82747,16157600001","913,1410800000001","7222,9836239999995","76443,01307999999","-0,08254309046395847"
CZ,2005,bioenergy,"86465,081844","2042,990928","10267,331508","78234,461064","-0,10512426963959076"
CZ,2006,bioenergy,"92707,935588","2010,2501520000005","11934,515268000001","82671,00368400001","-0,12004529609842784"
CZ,2007,bioenergy,"98418,563316","1749,370644","11616,820884","88199,92429200003","-0,1118759490918861"
CZ,2008,bioenergy,"105660,220068","4739,24826","13772,26926","96307,620624","-0,09379341885380313"
CZ,2009,bioenergy,"115631,04240000002","5175,596556","13348,397628000002","107542,52161199998","-0,07599599627658395"
CZ,2010,bioenergy,"122285,667924","5706,8177399999995","12055,848731999999","115848,714132","-0,05480450119425414"
CZ,2011,bioenergy,"128877,53331600002","9249,311088","12660,715728","125312,096304","-0,027223266872211025"
CZ,2012,bioenergy,"138595,22172","10354,626288","14065,931412000002","134564,254416","-0,02758017082699131"
CZ,2013,bioenergy,"152870,869944","11589,020531999999","17645,519808","147195,49507200002","-0,041145955404664335"
CZ,2014,bioenergy,"158816,712096","13824,18558","17655,065712000003","154736,005608","-0,024757522445712797"
CZ,2015,bioenergy,"161747,17902","18643,778532","21474,557748","159150,81873600002","-0,017786771305875002"
CZ,2016,bioenergy,"161699,32389600002","20898,872747999998","21756,622464000004","160752,85588800002","-0,005335828786753336"
CZ,2017,bioenergy,"163369,31281200002","21936,487392","21463,83954","163754,62401600002","0,002886317591580305"
CZ,2018,bioenergy,"166713,26810400002","20343,326256","23004,498204","163922,43096","-0,016234336767793376"
