Rok,CZ,AT,DK,NL,PL,SK
2002,"1,4653800000000001","0,0","1503,982296","758,983104","0,0","0,0"
2003,"2,219004","0,0","1692,0114839999999","36,00648","0,0","0,0"
2004,"115,43007600000001","0,0","2444,002632","3506,6124720000003","0,0","0,0"
2005,"289,01480399999997","2072,382264","2631,989952","11491,049412","0,0","239,73616800000002"
2006,"850,004136","9684,822024000001","2792,17692","12824,587080000001","71,71988400000001","837,862416"
2007,"308,525292","10698,195096","2872,270404","14154,272892","672,81876","1937,1486240000002"
2008,"3291,8715","13586,333472000002","3926,129832","20125,277712","6572,229300000001","1951,4256119999998"
2009,"2896,1351640000003","15452,683308000001","3513,6044280000006","8239,538664","9473,430492000001","1985,338692"
2010,"2872,856556","14408,24418","4008,9028680000006","5417,30052","18422,589888","1651,022712"
2011,"5051,1229920000005","15827,36004","8484,298992","6243,732972","22238,062596","1571,6828520000001"
2012,"4734,768384","18869,279580000002","10509,914700000001","5481,0236159999995","8135,58042","1259,724384"
2013,"5067,870192","19886,88132","10279,808172000001","0,0","7365,292956","1843,196832"
2014,"6596,219664","20732,740524","10791,979416","4994,9780040000005","7167,843468","2888,180244"
2015,"9308,219364","22127,02866","10303,882272","6156,019512","9591,33078","4195,80162"
2016,"9322,077672","20341,316592","9988,197552000001","5837,110956","10545,5025","4264,507008"
2017,"8561,671056","19717,148448","11172,89448","6149,906784000001","15240,496283999999","4626,120924"
2018,"9390,280644","23287,944563999998","11136,929868000001","7314,925752","15687,185976","4488,2496"
