year,bioenergy,biofuels,biogas,ren_mun_waste,renewables,solid_biomass,total
2002,"121985,97678","851,8881960000001","919,0026","1970,0150039999999","271396,49839200004","117873,994896","1297996,299612"
2003,"126972,078768","864,8672760000002","1099,997964","2263,0072680000007","251923,9428","121819,00719600002","1366498,2510000002"
2004,"128553,433128","1420,706844","1198,0109519999999","2872,9821600000005","268711,83849600004","122327,996472","1392073,151328"
2005,"154084,413924","4619,254572000002","4961,232396","3076,293168","300336,12054000003","140760,216","1439261,025012"
2006,"179544,84714","13431,966156","6799,6562760000015","4213,218707999999","322397,7095160001","153585,38923200002","1452296,417472"
2007,"197850,750912","16479,789084000004","7032,274884","4162,349088","347305,94568","168497,807868","1427588,101008"
2008,"207120,242376","18731,617596","7665,988931999999","4310,436204000001","362605,852656","174950,085348","1439510,307084"
2009,"216156,780288","23971,858344","6479,366075999999","5413,616136","382778,27373600006","179812,63486800005","1365927,9669720002"
2010,"236715,51740399998","22804,159824","6662,915388","5758,231644","396847,638324","200603,027628","1458332,35956"
2011,"234880,568568","22480,813260000006","7042,825620000001","5795,99658","379210,575852","197205,648768","1415925,853344"
2012,"245270,615184","22083,56967600001","8434,559808","6015,719844","429361,74097200006","207731,891988","1410570,18252"
2013,"249264,31996800003","22263,853284","8008,385436","6366,280608000001","430122,273192","210488,77418399998","1430066,85408"
2014,"241843,635648","26150,710931999998","12229,726536","7949,184084","422461,601496","192869,714952","1378072,45026"
2015,"248774,21315999998","28609,074288000003","12627,891216000002","7539,840648000001","420542,456112","197006,566428","1410092,4686399999"
2016,"246562,7454","23884,731036","12789,794772","8289,194112000001","432158,60710799997","199380,272688","1425347,576856"
2017,"248278,41230400003","21198,312684","13272,78402","7784,056692000001","434771,63085600006","204030,425844","1456912,280736"
2018,"233978,98305600003","20913,777756","9781,453368","7631,364095999999","417243,634524","192924,855108","1422969,935004"
