year,bioenergy,biofuels,biogas,ren_mun_waste,renewables,solid_biomass,total
2002,"69169,20170399999","93,03069599999999","3362,0004","18631,008791999997","91026,05616000001","47408,015627999994","828440,1482040002"
2003,"78701,70794400001","309,61386","3577,9974119999997","20129,003964000003","104326,01251200002","56310,994620000005","874954,0726920002"
2004,"86527,33956000001","477,75574800000004","3738,0169080000014","20499,996312000007","114999,96603599998","62514,99486","851766,862536"
2005,"94692,562524","560,19384","3830,000904","20785,996619999998","122445,60368400002","69042,00672","830116,4591880002"
2006,"96245,32104","989,843256","3919,012272","21134,003436000003","124852,67874","71838,99846","889124,255424"
2007,"106991,83180800002","1125,704916","3913,9881119999995","21864,013884","138355,31808","80312,997924","870208,1674200001"
2008,"110200,427856","1572,6876840000002","3928,013892","22829,99238","140364,89834400002","81373,011948","849322,2737520002"
2009,"112816,801044","1595,673216","4171,015764000002","21639,015252000005","142998,0606","85251,998412","807326,5763520001"
2010,"134256,27340799998","2594,392488","4336,561836","20958,995196","169380,00849600002","106789,14882","854859,6935640002"
2011,"131797,19829600002","5785,320240000001","4107,208932000001","21135,008268","173410,892064","100120,999932","793871,3734560001"
2012,"138373,44692400002","9235,075968","4399,154496","20539,980252","180664,523064","101415,432888","764100,6296399999"
2013,"137755,893924","9441,736416","4587,811704000002","20601,98676","187376,298408","102574,71594","765632,2029479999"
2014,"139519,83463199998","10296,890316","5561,242704","21293,981064000003","196277,979492","101084,80129200002","726363,410256"
2015,"151160,81335200006","9782,248860000003","6285,266028000001","21830,184540000002","211335,303276","110557,77123599999","726099,181308"
2016,"160714,044252","9512,535204","9047,967876","21726,979919999998","218891,51431199998","118678,069836","751779,2121840001"
2017,"178500,491748","9103,066164","11053,235736","21808,538784000004","245639,430396","135970,684272","761680,701108"
2018,"181200,182256","9313,704072000002","13414,255992","21141,120996","246898,024344","136096,078932","765565,339752"
