Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2002,121985.97678,28346.980607999998,26769.017556,43865.019864000016,516.9860639999999,72605.18286,69169.20170399999,22918.291992,292090.469148,400732.52817600005,303891.17428800004,41723.052983999994,32373.80298,6242.602536,132742.28466,44056.565964,30559.704408,1236.5295119999998,0.0,62195.918832,164661.6105,115218.391392,98477.429724,11786.511887999999,22816.636488,176862.95053200005,308707.920216
2003,126972.078768,35113.686768000014,28538.987256000004,50698.00306800001,604.9926,71296.17984000001,78701.70794400001,24086.827872,295242.501528,424164.875472,429459.75396,39403.523916000006,33739.53714,6058.550808,203210.901612,46886.005404,31941.180936000004,1462.072428,0.0,59282.366579999994,166789.63533599998,115339.64112,119058.608088,14156.952444,25428.236724000002,193688.820504,325832.93704800005
2004,128553.433128,38901.275388,29621.986812000006,49787.080992,556.802532,76443.01307999999,86527.33956000001,24945.205608000004,310402.44378000003,432107.193204,488746.60041600006,39903.260364,35901.558792,7187.144616000001,180444.88353599998,49521.72160800001,33665.598251999996,1657.5541200000002,0.0,68960.322252,172360.17273600007,117275.57557200002,131216.698476,15423.082632,25163.463492000006,197991.594864,332264.82481200004
2005,154127.95664400002,46704.926304,28980.987732,52238.871072,516.399912,78234.461064,94692.562524,24355.45296,296555.02146,457780.567068,588446.57574,41472.55674,67311.30920399999,9072.669995999999,253224.65595600003,49734.494783999995,35133.867143999996,2518.653276,0.0,88970.462964,178559.98617600003,119244.543876,133346.942316,16783.122744,29706.183360000003,206199.81626400002,343611.55522800004
2006,179539.069356,55181.43784800001,31053.286260000004,48550.17466800001,521.382204,82671.00368400001,96245.32104,21936.822336,327295.59562800004,421888.470444,738833.040432,42323.398236,67773.531924,9274.724964,290972.88662400004,50104.73350800001,37416.008088,2636.721036,0.0,92946.33198000002,187260.28218,122623.542684,133336.893996,18589.643208,26416.656468,202487.50630799998,368384.30654400005
2007,197827.3467,63807.87870000001,28377.251172000004,47036.688336,808.219872,88199.92429200003,106991.83180800002,24784.055676,316249.26811199996,463687.89066,844798.6038240001,49235.09328,74544.50862000001,10531.602324,367904.959812,48967.849836,38379.641976,4868.41104,0.0,92962.534896,190851.92856,128932.38039600001,140468.35417200002,23082.958836,29398.369824,215279.729424,382884.49285200005
2008,206598.06467999998,77167.580688,32360.40522,47081.445228,1607.982408,96307.620624,110200.427856,26635.291164,324278.21073600004,522305.43526800006,878316.9523200002,43838.140608,78446.81556,11785.883868,449317.3695480001,46343.772936,40788.22428,5100.276024,0.0,106175.866356,221360.09346000003,128652.116004,160729.828488,24398.744472,30875.389128000006,223918.898148,386595.46303200006
2009,216421.637256,88680.778272,31655.724912,49423.49928,1998.9876600000002,107542.52161199998,112816.801044,29307.223188,293481.36597600003,545431.60188,875496.4307639999,41187.01698,101506.286448,13669.148376,476865.38311200007,53028.794628,41664.437783999994,4766.0019120000015,0.0,118456.336908,247818.28298400002,134884.62835200006,163639.15207200006,31349.837304000004,29089.049039999998,263850.084468,406959.011532
2010,236715.51740399998,115076.66821200002,38177.419536,52601.95036800001,1867.9826879999998,115848.714132,134256.27340799998,34002.300707999995,346620.81772800005,602737.8825960001,1004561.239644,43760.182392,110480.65037999999,15160.109724000002,491091.7527,47235.89628,42223.24998,4968.7267679999995,59.57816400000001,119589.829272,286657.55186400004,127500.36919200001,171708.999732,36024.190164,30771.430883999998,274668.35698800004,449937.518364
2011,234880.568568,110220.6501,40812.382116,52094.51020800001,2141.506332,125312.096304,131797.19829600002,32796.502307999996,341954.880336,519368.5206720001,992754.044964,52741.16146800001,114377.891292,13452.355872,431058.7766160001,48793.17654,41499.18478800001,5130.420984,169.48166400000005,124237.512216,310435.01708400005,129564.21038400002,153122.664096,38650.779144,30589.012007999998,299509.22754,416941.724376
