Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2002,0.20908880747435607,0.012528819799816501,0.04326256559956271,0.17218658519187632,0.019274379634024303,0.04565489696750521,0.10987644232035118,0.11599415200347206,0.22012166568566202,0.05661497714270736,0.031302323128963645,0.049803104672906266,0.03399338812397385,0.016972904099473836,0.061830490561947817,0.30724846701339364,0.08570604216616211,0.009493552830084505,0.00028712847497537185,0.019249104976169697,0.046634273243672905,0.13349211834001784,0.09784259513340067,0.039981520798782935,0.11963897348539815,0.05267353064939651,0.2537345878571418
2003,0.1843573108239565,0.01461713835653854,0.04824004771581884,0.17441600521440748,0.018867572674169237,0.0410350724452095,0.11923598708560407,0.11053234969202665,0.21022393415399818,0.056923150119013374,0.04036482134007304,0.05348680134972054,0.034391174935471044,0.01603991493938209,0.06988628019231194,0.3010965740715983,0.084745576392399,0.009743739808235537,0.000338750426169891,0.018187605594636853,0.0455128987160209,0.16370253501921359,0.1002264450999555,0.034837050661156756,0.1221393773329172,0.06789839661884092,0.24526819723882093
2004,0.19302996989752746,0.016231916328182404,0.0522161857299178,0.19159908105727907,0.02107902615209579,0.044025800038372954,0.1350134304281408,0.1123980090089735,0.22975749255305003,0.057368665558922255,0.04655204205159944,0.05354295824268244,0.03591912945422935,0.01883050793086051,0.0697065881994277,0.3238346819201404,0.08882882598256034,0.010628023635113022,0.0004310857414674753,0.021312955679217385,0.0472301418021395,0.14203005363888258,0.11608445283845602,0.0399583717215992,0.1315363967835869,0.06225515196366527,0.2504604975948269
2005,0.20869721336648825,0.019535665804348325,0.05535261252050767,0.1894743916782501,0.02107545649101301,0.04613176471508021,0.14750412707606514,0.11189842862776964,0.2320601610859472,0.05749846554493231,0.054136520454591754,0.054879528650649934,0.05926627375340663,0.023945109158921823,0.07446337880690815,0.3216934412947703,0.09808939192663528,0.01486768064098704,0.0005611126489754082,0.027125734442548847,0.04846013055517001,0.12663190769352892,0.1277028148137962,0.043240584037446406,0.1341557985649941,0.05814878763260926,0.28366505121821917
2006,0.22199166529849876,0.023325764841927422,0.05610774412857349,0.17779399299510795,0.021093577089056903,0.047919019143641765,0.1404220815913531,0.10352645306891875,0.22902993199344154,0.057593501313571986,0.0641010413920677,0.05926561869807826,0.06044348967372849,0.02764704232895837,0.08154288486815933,0.30028138486347544,0.10490325615774039,0.016068141756256316,0.000688344355736363,0.029180439559481592,0.04813417758372917,0.16128095980788404,0.11923009818246279,0.04502767052704579,0.12618153989485592,0.06353152345528384,0.2826490268286171
2007,0.24327220328211982,0.027670960623771168,0.048279157407922914,0.15211443458221158,0.026469356657224004,0.050451773733150206,0.15899105899016888,0.10482600107889306,0.23137006754111558,0.06347666696471391,0.07801469010378644,0.05638321880141623,0.06823624810775053,0.030273296507139325,0.09032688008228074,0.2879608349047307,0.10037761962814057,0.027821710099610448,0.0008219678201684616,0.03064248306632791,0.04964642650646737,0.17103025489796483,0.1192763488255875,0.05309306692616692,0.13050141130683632,0.06816243491380566,0.2999893623716521
2008,0.2516238021914804,0.03220202131568346,0.054100857539239905,0.16555864741049195,0.03254634657184948,0.05588543760767647,0.16526694598967528,0.11700097727652174,0.25274548549784415,0.07172691508093143,0.080197952467982,0.05587687277893881,0.07334124631264365,0.03687034718282621,0.1065086667525956,0.29346592500887864,0.10603564089359876,0.028827133773559853,0.0009300858178301957,0.03577804370163213,0.05656459115543046,0.1691807861640811,0.1348659272863366,0.0513930939878005,0.13680730612104397,0.07453251537421303,0.30973912707282575
2009,0.2803726534897521,0.0398416879406174,0.0647006431051164,0.19244937948779894,0.037372750183905804,0.06725331917679056,0.17712542208898105,0.14834618764497062,0.2379328887376246,0.07612686675910336,0.08560170612081683,0.0634222769580676,0.09839439506130605,0.044589716782792825,0.12184233831331143,0.3474446197163611,0.12023244701271237,0.0287342115189535,0.0010409143051365935,0.04111929745908966,0.0666210150177049,0.19006050475648686,0.1514307383644517,0.06776835953904188,0.15824430470174808,0.09667317879374579,0.34743122978654895
2010,0.2721242765563638,0.04828820934765314,0.08291917589143759,0.21952441842935067,0.03964397396744373,0.069889237002208,0.19813778772261084,0.15110168268312324,0.25259398282580303,0.08274886710640227,0.09243947888290213,0.07723952989431968,0.10444788794881728,0.04503699822655213,0.12363574499323994,0.3098419746462159,0.15038242813197936,0.02794999572758386,0.005390318527541458,0.0384737108019211,0.07198714156898657,0.22388799866663517,0.16741882332870417,0.07479306298957815,0.16036001857744164,0.11589179415324448,0.33198553863300717
2011,0.26781811079261314,0.05184859510353381,0.07263885240167357,0.1855723541556854,0.046353806206058355,0.08020186195851375,0.2184370136802914,0.1474592199641547,0.25674134631069245,0.07270484934502466,0.10112877671614968,0.0798433382401346,0.11074936701497774,0.05660609461933589,0.12282047121624656,0.3238752684133439,0.14382987215282805,0.02790063046955868,0.008821029522312581,0.04363144110475671,0.07861660986083416,0.2161514133314396,0.14174007084259593,0.07515323464276208,0.14956106433631686,0.11479988048020218,0.34661656610553127
