Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
2002,0.0939802192166991,0.011920652697709326,0.03367870448392885,0.11613527407566869,0.005004837442085462,0.04038745330562064,0.08349329985268572,0.1158329067670309,0.19724119197167175,0.03609024536413105,0.021070928395053805,0.03408321761213977,0.0299633933812806,0.009684939062998936,0.01800224596613349,0.2556653324657869,0.08124827673031304,0.007345242305452053,0.0,0.01832133637158794,0.044277782712073485,0.10342751166157647,0.06138197140292577,0.015099822390052852,0.07798515012863344,0.032271215909695644,0.14256593713408006
2003,0.09291784945577658,0.014134769436892227,0.03501238610118572,0.1254396703950813,0.005389349749777526,0.037976551495495094,0.08994953038147004,0.11012729539541703,0.18912445338798006,0.037306997767767545,0.0297055434282704,0.03133502884101043,0.030585211765173825,0.009825017381480032,0.02627574640499992,0.25592434066264313,0.08142200072403383,0.0082409634005036,0.0,0.016872679706399035,0.043708936351571914,0.10633078955756334,0.07122142077024995,0.018233111604170116,0.08553461759029439,0.03415130409259505,0.15377750869475612
2004,0.09234675132220137,0.015616446082964428,0.03730671413180393,0.12311902552893617,0.005292340214025597,0.03970402591790158,0.10158570773976655,0.11182966924990978,0.19648024859147373,0.03740846799491681,0.03356429180509689,0.031193974610507758,0.03243681019283298,0.011377654456852244,0.02317484614116097,0.26362658112739246,0.08468016765659883,0.008412577089613816,0.0,0.01940810642109311,0.04499992610691622,0.10470813328233022,0.07965475603188266,0.02017415069675558,0.08236299499657199,0.03339644782887474,0.15065808043142837
2005,0.10708474464549807,0.018855042069182693,0.034470525342620434,0.12705678687990388,0.004839781797805892,0.041036578133401176,0.11407141910741773,0.11056530436724589,0.20328376802174827,0.03944255214395714,0.04056510412893549,0.031892599801552436,0.05639029347976566,0.014010620546539438,0.03192570734088831,0.25885292934522774,0.09341782176630636,0.012527243323433485,0.0,0.025387984538179875,0.04606567939292441,0.10380191955631594,0.08232728137868174,0.021437474149601437,0.09381418967385448,0.034088340902263176,0.1596358010036976
2006,0.12362425605416127,0.022527813684592286,0.03584661161932953,0.11862374883048914,0.004703366496983394,0.04240338360688746,0.1082473236478102,0.10197201584837005,0.20601307361098023,0.03688550782236433,0.04942406784846772,0.03241195132690827,0.05740053034596101,0.01424696252852634,0.036975462609736005,0.2511500515004815,0.10072368954193155,0.0133298648916373,0.0,0.026730246713897326,0.04585498940076869,0.11213245323071773,0.07942284696721502,0.023947683432731053,0.08397564384108605,0.033520907494969165,0.17555535164201577
2007,0.13857850238520933,0.026511318224971117,0.0333051392188617,0.11058733686932626,0.006980388810260274,0.04533498769611441,0.12294969849020175,0.10304264203815047,0.20187831823071312,0.04091989820085379,0.05944066223678662,0.037744675099571814,0.06451711909619613,0.015613476167356293,0.04683853872885029,0.23938393447595557,0.09544948876720613,0.025089251538518303,0.0,0.02683332153227546,0.04691567724156459,0.11754714763619309,0.08428678321305175,0.031049867203974454,0.09231678221252469,0.035004653995709546,0.18341162539551664
2008,0.14357176021792714,0.0310716280702269,0.03857733695065171,0.11339216641645901,0.013160956309367117,0.05043147099113065,0.1297510159119861,0.1144545170613194,0.21531358228389103,0.045842474597750565,0.06102897130352445,0.03332307067352985,0.06895959043891271,0.017644046202290813,0.05800046551652584,0.2358216961959892,0.1011663712809253,0.0262605349976632,0.0,0.03086914123220016,0.053793874834433174,0.12007731083045248,0.0968950306820996,0.03190978084058464,0.09197330421234906,0.03774923544050621,0.18612980050772862
2009,0.15841220960819508,0.03720518534017641,0.04303022024927437,0.12335216611862523,0.016772841381510212,0.05995420192848039,0.13974122040398565,0.1443629562366321,0.2085044649642769,0.0498111371543833,0.06503707137138033,0.03242233130646866,0.0938236372458365,0.021491467647337233,0.06599995535772338,0.2808474754413593,0.1137340475831552,0.026054884770181246,0.0,0.035126561317727296,0.06279759039585613,0.1279478534687811,0.1123386221681877,0.04486335178988044,0.09836258671036197,0.048419153069437816,0.21685016329381956
2010,0.16231932031969756,0.04469601782559591,0.05089626572877308,0.13263953493773512,0.016161136118885918,0.060858163762713594,0.15705065336309332,0.14365477330971074,0.22502143084931725,0.053378442724232894,0.07093440568075676,0.03687375510231873,0.09923072436546669,0.02403897190346862,0.06632677145567385,0.24370297359490237,0.14240936218861522,0.025543237174195984,0.001516493330306741,0.03315416055433572,0.06738631443561689,0.12489197579470382,0.11715849612698691,0.0485797713119276,0.1013188798006716,0.05046790742183627,0.2129722853525845
2011,0.16588479895225164,0.045855576936603075,0.05077008221029678,0.1343674909668873,0.018849533193147555,0.068619530113994,0.1660183282869121,0.13814184788138856,0.2304974710744082,0.04690062026465245,0.07392210927663975,0.045745281815696606,0.10481941898173489,0.0231955136551148,0.06014110620497555,0.2662498163743163,0.13492580442686442,0.026815855182389745,0.00432242192305064,0.03683478193341164,0.07293179375445029,0.13018992674569022,0.10229738875475884,0.05368645648090785,0.10087256955504184,0.05529850721924593,0.19584036938763968
