Rok,CZ,AT,DK,NL,PL,SK
2002,"72605,18286","121985,97678000001","69169,201704","62195,918831999996","164661,6105","11786,511888"
2003,"71296,17984000001","126972,078768","78701,70794400001","59282,36658","166789,635336","14156,952444"
2004,"76443,01308","128553,433128","86527,33956000001","68960,322252","172360,17273600004","15423,082632000001"
2005,"78234,461064","154084,413924","94692,56252400001","88970,462964","178559,98617600003","16783,122744"
2006,"82671,00368400001","179544,84714","96245,32104000001","92946,33198000002","187260,28218","18589,643208"
2007,"88199,92429200001","197850,750912","106991,83180800002","92962,534896","190851,92856","23082,958836"
2008,"96307,620624","207120,242376","110200,42785600001","106175,86635600001","221360,09346000003","24398,744472000002"
2009,"107542,521612","216156,780288","112816,801044","118456,336908","247818,282984","31349,837304000004"
2010,"115848,714132","236715,517404","134256,273408","119589,829272","286657,55186400004","36024,190164"
2011,"125312,09630399999","234880,56856800002","131797,19829600002","124237,512216","310435,01708400005","38650,779144"
2012,"134564,254416","245270,61518400002","138373,44692400002","129452,046012","334122,96852000005","40143,87576"
2013,"147195,49507200002","249264,31996800003","137755,893924","119281,052772","325678,6116","38914,380072"
2014,"154736,005608","241843,63564800002","139519,834632","114874,90632","323089,70382","41806,537776000005"
2015,"159150,81873600002","248774,21316","151160,81335200003","114797,827332","326806,87046400004","50232,137832"
2016,"160752,85588800002","246562,7454","160714,044252","114483,273048","310228,98465600004","48431,730096"
2017,"163754,62401600002","248278,41230400003","178500,491748","118200,77463600002","306818,1243","49291,112664"
2018,"163922,43096","233978,98305600003","181200,182256","129750,06243600001","321006,22653600003","51295,08261600001"
