country,year,fuel,primary_production,imports,exports,gross_inland_consumption
AT,2002,total,"9831,767","24645,177","3538,177","31002,109"
AT,2003,total,"9483,763","27068,006","3881,256","32638,25"
AT,2004,total,"9842,878","28084,148","4434,439","33249,096"
AT,2005,total,"9888,261","29620,112","4932,991","34376,159"
AT,2006,total,"10326,256","30536,606","5451,498","34687,504"
AT,2007,total,"10951,233","29542,684","6172,202","34097,356"
AT,2008,total,"11179,433","29499,266","5848,93","34382,113"
AT,2009,total,"11698,143","27826,117","6556,963","32624,629"
AT,2010,total,"12116,003","30085,035","8201,067","34831,67"
AT,2011,total,"11441,763","30755,93","7076,991","33818,808"
AT,2012,total,"12828,792","31407,63","9888,389","33690,89"
AT,2013,total,"12435,152","28596,077","7682,975","34156,56"
AT,2014,total,"12336,006","28194,896","6605,294","32914,695"
AT,2015,total,"12222,377","30127,937","9787,024","33679,48"
AT,2016,total,"12536,803","31823,774","10696,149","34043,842"
AT,2017,total,"12635,476","32074,401","9813,114","34797,752"
AT,2018,total,"11994,155","31698,634","9852,006","33987,053"
CZ,2002,total,"31718,506","19453,904","8202,695","42937,716"
CZ,2003,total,"33750,786","19807,786","8629,695","44840,301"
CZ,2004,total,"33490,239","19729,415","8077,439","45985,513"
CZ,2005,total,"33233,058","21000,088","8320,583","45534,937"
CZ,2006,total,"33879,009","21846,704","9042,151","46566,173"
CZ,2007,total,"33992,245","20695,703","9084,046","46467,853"
CZ,2008,total,"33174,47","21175,435","8524,532","45611,76"
CZ,2009,total,"31583,465","20254,519","8744,438","42842,864"
CZ,2010,total,"31994,859","20638,339","9099,343","45598,608"
CZ,2011,total,"32549,172","21373,145","8797,505","43787,11"
CZ,2012,total,"32596,073","19654,304","8665,169","43470,359"
CZ,2013,total,"30592,08","20341,395","8359,007","43724,432"
CZ,2014,total,"29691,416","21085,341","8386,401","42204,844"
CZ,2015,total,"28868,43","21922,814","8428,739","42367,216"
CZ,2016,total,"27338,907","21607,884","7943,739","41965,914"
CZ,2017,total,"27363,712","23888,855","7737,268","43464,68"
CZ,2018,total,"27345,869","22992,557","6989,463","43551,717"
DK,2002,total,"28633,943","13254,848","21992,42","19786,953"
