year,CZ,AT,DK,NL,PL,SK
2002,"-0,019729030732724195","-0,0023435046514860567","0,0806021265339772","-0,07488939929614062","-0,00045793471696913837","-0,006294491254493527"
2003,"-0,07993516865545428","-0,028736996632676887","0,08602224328876378","-0,11439225670669911","-0,0006581817615875885","-0,016159321923621774"
2004,"-0,08254309046395847","-0,052182972766822794","0,1264754411686433","-0,021565926309992975","-0,0012395694469815037","-0,04302692372425849"
2005,"-0,10512426963959076","-0,007057414415298124","0,17699793915442988","0,17481175497865198","-0,017443360019808517","-0,09917477011809667"
2006,"-0,12004529609842783","0,07971798043772031","0,16215470814954017","0,15332851348094692","-0,01807525094267697","-0,061219893424863635"
2007,"-0,1118759490918861","0,06818987875361013","0,16839029903077962","0,16260563545207743","-0,00224463739629082","-0,037930302706016585"
2008,"-0,09379341885380311","0,05587568339646274","0,2041718146630133","0,19377144891869647","0,029388350313357337","-0,14291793792921198"
2009,"-0,07599599627658395","0,09015370681426571","0,21814358659577382","0,1346875761014901","0,035837918256311246","-0,11263685631789395"
2010,"-0,05480450119425414","0,0727574629195347","0,2697504814984832","0,04219925121326001","0,06170185978700973","-0,09081347197831764"
2011,"-0,027223266872211025","0,10736652557403478","0,334320545426475","0,09582012575479498","0,06417678171470312","-0,08531800623511902"
2012,"-0,02758017082699131","0,08648066603529965","0,3895218537527916","-0,08489027329070808","0,01671635095527913","-0,07808034876201998"
2013,"-0,041145955404664335","0,1003932762427153","0,3830476958692717","-0,288280117192861","0,0014840526051910965","-0,06067002777975028"
2014,"-0,024757522445712794","0,09112004564831407","0,40203560584736286","-0,4388254718012641","0,0712303506670131","-0,021152051211178018"
2015,"-0,017786771305875002","0,07807895494179441","0,3584101435458648","-0,40753798735839647","0,018098561451912763","-0,002087059729582397"
2016,"-0,005335828786753336","0,05338110561126156","0,3795725460579395","-0,35002300333603226","-0,03253563036088409","-0,011649659569906603"
2017,"0,002886317591580305","0,04270654371277842","0,42259026868392463","-0,4371146407044263","-0,0233452166111166","-0,0012248385710329987"
2018,"-0,016234336767793376","0,04001598284474595","0,4126119598178513","-0,26280280875255363","0,03199344419834248","-0,005066268787311387"
