Rok,CZ,AT,DK,NL,PL,SK
2002,"0,0","7233,994908000001","0,0","11175,992712000001","0,0","4,019328000000001"
2003,"4819,0068","11343,004164","0,0","11175,992712000001","0,0","203,01793200000003"
2004,"4500,014508","18229,997088","0,0","13937,01984","0,0","236,009916"
2005,"4599,9952920000005","14677,706628000002","0,0","11667,020616","0,0","914,983272"
2006,"6883,015464","13101,502032","0,0","11540,997936","0,0","1167,991596"
2007,"7886,005272000001","13744,385172","0,0","12200,000256000001","0,0","1148,9835240000002"
2008,"9588,986172","13827,200076000001","0,0","11138,018436","0,0","1018,9833840000001"
2009,"8567,993124","10708,745832","0,0","10165,006116","0,0","980,004276"
2010,"7114,00122","13925,799216000001","0,0","10863,992376000002","0,0","920,0074320000001"
2011,"8019,9828720000005","13135,833792000001","0,0","8845,996644","0,0","478,006956"
2012,"8033,003820000001","12197,278836000001","0,0","9058,97916","0,0","525,9876840000001"
2013,"9735,98472","9392,583384","0,0","10673,995392","0,0","453,01176000000004"
2014,"8213,999184","9544,187412000001","0,0","11672,002908","8973,98712","488,013408"
2015,"9387,014940000001","10457,328492","0,0","11193,995952","15338,006856","475,997292"
2016,"11397,013884000002","11300,884956","0,0","10277,044884","15708,999204","447,9876"
2017,"11753,896716000001","12561,697908","0,0","10226,007792","11150,70444","687,012012"
2018,"12408,754104","14783,381460000002","0,0","10738,011564","13546,223928000001","494,000532"
