year,CZ,AT,DK,NL,PL,SK
2002,"0,0","-0,005573686177173037","0,1244514585528309","-0,24707320774097163","0,0","-0,00034908202336667797"
2003,"-0,0576290513573966","-0,03754746791394134","0,149100534214645","-0,30790662916908207","0,0","-0,015141532264360099"
2004,"-0,05634714070949542","-0,06083640169569376","0,18630742493193897","-0,2013732588337137","0,0","-0,016231765539244762"
2005,"-0,04387327061835652","-0,02711392028554433","0,2358851210401203","0,022971360067588893","0,0","-0,059573168903318305"
2006,"-0,0796255305541962","0,02181077789202917","0,23779537195958841","-0,05662911701030871","0,0","-0,0747323810850487"
2007,"-0,084583184354322","0,027246359238076973","0,22413531549443946","-0,02086041870080624","0,0","-0,05942258470348359"
2008,"-0,10044006256685062","0,008021325746761298","0,26731242291855006","0,054354436404339915","0,0","-0,051410435595288184"
2009,"-0,07523836457477763","0,046815985373773704","0,2821046366065566","0,17259033812048785","0,0","-0,037113033162368914"
2010,"-0,05008083579705384","0,0337654271128985","0,3322398715603884","0,19548565716116287","0,0","-0,030155059509847478"
2011,"-0,04945291734513995","0,0559849568253925","0,36968380608602086","0,22119713106567623","0,0","-0,014952953895606838"
2012,"-0,0378841598945525","0,0387091559945187","0,4076732282911951","0,16165486378472313","0,0","-0,015885693210649813"
2013,"-0,045029549379974346","0,051541162715482515","0,40921078142251593","0,04451378274048551","0,0","-0,013374511351404054"
2014,"-0,028508806058252477","0,048326167549527704","0,4315359416891121","-0,12702778547297905","0,08525123168168625","-0,015282660718015022"
2015,"-0,02805060947814196","0,03331816642974136","0,35817213108856344","-0,15974946404857615","0,04165445170385294","-0,012657983115865466"
2016,"-0,021904602296209916","0,019245226281762146","0,40197743790343315","-0,1264031438420776","0,03101313366453364","-0,012495125714188834"
2017,"-0,011958619893284742","0,009799139494658826","0,46427766439504325","-0,1423483817783348","0,02045439348386421","-0,013429627157663604"
2018,"-0,030033276000250925","0,0012055302043368164","0,45429319334682616","-0,1192115070656247","0,03156385748235293","-0,00964325034327722"
