country,year,fuel,primary_production,imports,exports,gross_inland_consumption
LT,2002,total,5227.826,9372.055,5679.765,8983.607
LT,2003,total,5552.447,10489.97,6446.448,9369.743
LT,2004,total,5392.67,12284.943,7911.382,9495.61
LT,2005,total,4145.604,12800.707,7751.961,8982.806
LT,2006,total,3737.903,12485.838,7048.757,8872.442
LT,2007,total,4061.732,10390.611,4644.072,9603.86
LT,2008,total,4130.885,13478.092,8033.964,9629.809
LT,2009,total,4409.095,12159.33,7850.443,8749.678
LT,2010,total,1563.281,13717.959,8010.323,7081.606
LT,2011,total,1578.754,14238.911,8354.263,7346.154
LT,2012,total,1594.105,14057.253,8212.088,7418.588
LT,2013,total,1679.173,14221.568,8854.737,7016.586
LT,2014,total,1788.486,12739.513,7440.77,7060.026
LT,2015,total,1859.861,14344.044,8866.169,7184.43
LT,2016,total,1892.598,14802.112,9179.654,7356.097
LT,2017,total,2077.814,14787.146,9124.572,7693.795
LT,2018,total,2018.69,14307.742,8370.675,7795.048
EE,2002,total,3374.808,1887.217,364.645,4725.721
EE,2003,total,3906.286,1998.291,484.343,5223.991
EE,2004,total,3710.024,2213.823,549.101,5327.799
EE,2005,total,3868.321,2059.011,538.623,5273.649
EE,2006,total,3746.236,2238.409,528.798,5150.151
EE,2007,total,4408.166,2429.875,810.842,5758.289
EE,2008,total,4225.536,2249.142,647.689,5573.6
EE,2009,total,4157.8,2052.527,790.62,4848.94
EE,2010,total,4930.33,1871.446,960.284,5669.906
EE,2011,total,5037.974,1864.816,1047.873,5675.854
EE,2012,total,5091.465,3099.754,1921.848,5512.563
EE,2013,total,5653.278,2510.501,1594.34,6145.464
EE,2014,total,5572.044,2734.665,2048.303,5816.505
EE,2015,total,5599.893,2565.312,2005.046,5435.68
EE,2016,total,5193.512,2586.392,2086.131,6002.348
EE,2017,total,5792.991,2523.636,2285.937,5755.111
EE,2018,total,6604.62,2787.823,2739.016,6297.551
UK,2002,total,258896.324,99084.753,126905.827,230811.436
UK,2003,total,246963.706,101949.972,116081.612,235354.378
UK,2004,total,225041.151,118343.748,107791.542,233200.147
UK,2005,total,204838.886,126540.326,94887.269,234828.327
UK,2006,total,186446.185,141282.204,91905.185,231327.812
UK,2007,total,175759.295,140226.789,94152.505,223754.415
UK,2008,total,166691.252,147505.159,88811.167,220300.692
UK,2009,total,154907.367,140688.671,84146.796,204053.796
UK,2010,total,145979.839,147403.371,84805.871,213023.09
UK,2011,total,127207.133,152386.962,78175.042,197797.578
UK,2012,total,113229.848,163068.077,74296.436,201952.838
UK,2013,total,106697.944,166993.767,70846.098,198607.852
UK,2014,total,105349.665,154513.041,65480.127,187603.899
UK,2015,total,115676.689,144176.812,71305.258,190936.002
UK,2016,total,117831.119,138892.771,71045.235,187841.33
UK,2017,total,117939.503,141271.166,74419.073,185891.548
UK,2018,total,121266.595,143058.966,76573.937,185136.874
IE,2002,total,1544.794,15294.77,1604.737,15390.072
IE,2003,total,1835.765,15112.756,1661.464,14728.32
IE,2004,total,1878.315,15311.359,1349.093,15087.644
IE,2005,total,1701.524,15444.818,1483.719,15466.876
IE,2006,total,1686.887,15556.507,1328.915,15548.526
IE,2007,total,1440.662,15439.616,1255.007,16110.795
IE,2008,total,1586.229,15671.786,1285.042,15954.091
IE,2009,total,1491.204,14359.923,991.582,15190.737
IE,2010,total,1889.562,14764.483,1530.425,15061.045
IE,2011,total,1722.545,14288.795,1679.606,13849.852
IE,2012,total,1290.225,13669.689,1850.56,13995.297
IE,2013,total,2328.297,13707.383,1299.485,13398.854
IE,2014,total,2055.5,13086.16,1368.685,13473.121
IE,2015,total,1961.913,14613.033,1901.266,14167.388
IE,2016,total,4236.527,12190.944,1801.07,14910.108
IE,2017,total,4878.153,12003.086,2062.472,14673.292
IE,2018,total,5034.866,11981.957,1875.73,14824.287
MK,2002,total,1513.077,1313.994,128.564,2556.573
MK,2003,total,1666.467,1424.383,332.752,2785.552
MK,2004,total,1597.82,1364.531,210.884,2759.682
MK,2005,total,1631.991,1580.1,330.251,2922.88
MK,2006,total,1657.386,1685.489,360.476,2965.355
MK,2007,total,1551.878,1725.514,264.781,3100.286
MK,2008,total,1646.638,1785.263,381.192,3032.264
MK,2009,total,1607.67,1630.999,356.989,2817.307
MK,2010,total,1607.338,1611.686,343.715,2881.394
MK,2011,total,1755.799,1819.704,395.285,3122.366
MK,2012,total,1560.85,1736.603,288.871,3004.425
MK,2013,total,1424.779,1498.514,198.224,2782.643
MK,2014,total,1330.707,1582.391,186.808,2707.262
MK,2015,total,1265.703,1573.342,178.083,2655.996
MK,2016,total,1111.308,1704.252,114.571,2696.458
MK,2017,total,1152.881,1670.958,118.393,2750.112
MK,2018,total,1133.25,1658.789,149.666,2571.816
DE,2002,total,134385.358,238452.008,29897.653,344470.631
DE,2003,total,136021.398,246143.657,35518.863,345304.91
DE,2004,total,137996.845,256592.292,42259.777,347795.57
DE,2005,total,137782.891,262308.457,50346.912,346475.26
DE,2006,total,140452.043,267418.353,48116.642,357047.179
DE,2007,total,138547.168,249634.383,49199.001,339459.004
DE,2008,total,136284.099,256351.554,45656.236,343742.317
DE,2009,total,128967.562,238256.813,40133.727,321522.365
DE,2010,total,131671.297,248063.034,43477.321,338249.581
DE,2011,total,125140.307,240703.259,40788.384,320763.615
DE,2012,total,126408.214,241212.433,41560.102,323608.559
DE,2013,total,123957.233,255616.974,47745.752,330772.041
DE,2014,total,121047.901,247122.987,50134.457,316553.354
DE,2015,total,120545.51,259637.57,60494.44,318092.896
DE,2016,total,115865.838,257980.335,52159.012,320027.671
DE,2017,total,115557.598,267926.175,60519.72,321991.505
DE,2018,total,112856.353,234272.035,33301.951,314425.283
MT,2002,total,0.239,1572.334,0,832.38
MT,2003,total,0.31,1827.921,0,915.128
MT,2004,total,0.406,1919.461,0,941.808
MT,2005,total,0.525,1593.613,0,935.641
MT,2006,total,0.645,1688.965,0,937.031
MT,2007,total,0.788,1800.057,0,958.675
MT,2008,total,0.908,1887.69,0,976.254
MT,2009,total,0.931,2034.872,9.243,894.406
MT,2010,total,4.318,2381.198,16.433,938.349
MT,2011,total,6.368,2303.46,3.081,936.512
MT,2012,total,8.786,2195.642,8.247,981.1
MT,2013,total,9.41,2304.723,150.301,881.732
MT,2014,total,13.355,2266.398,200.33,892.197
MT,2015,total,15.692,2763.459,530.978,757.865
MT,2016,total,18.527,2775.691,278.662,718.605
MT,2017,total,30.843,3161.133,153.232,827.066
MT,2018,total,34.055,3339.54,354.209,844.457
AT,2002,total,9831.767,24645.177,3538.177,31002.109
AT,2003,total,9483.763,27068.006,3881.256,32638.25
AT,2004,total,9842.878,28084.148,4434.439,33249.096
AT,2005,total,9888.261,29620.112,4932.991,34376.159
AT,2006,total,10326.256,30536.606,5451.498,34687.504
AT,2007,total,10951.233,29542.684,6172.202,34097.356
AT,2008,total,11179.433,29499.266,5848.93,34382.113
AT,2009,total,11698.143,27826.117,6556.963,32624.629
AT,2010,total,12116.003,30085.035,8201.067,34831.67
AT,2011,total,11441.763,30755.93,7076.991,33818.808
AT,2012,total,12828.792,31407.63,9888.389,33690.89
AT,2013,total,12435.152,28596.077,7682.975,34156.56
AT,2014,total,12336.006,28194.896,6605.294,32914.695
AT,2015,total,12222.377,30127.937,9787.024,33679.48
AT,2016,total,12536.803,31823.774,10696.149,34043.842
AT,2017,total,12635.476,32074.401,9813.114,34797.752
AT,2018,total,11994.155,31698.634,9852.006,33987.053
XK,2002,total,1342.285,536.128,20.365,1897.181
XK,2003,total,1406.713,553.686,20.121,1997.3
XK,2004,total,1257.662,563.622,18.444,2008.568
XK,2005,total,1397.523,572.912,22.787,1949.698
XK,2006,total,1423.622,602.417,21.754,1970.37
XK,2007,total,1426.001,626.74,31.814,2049.066
XK,2008,total,1676.111,626.177,25.451,2219.069
XK,2009,total,1845.156,659.883,23.56,2458.744
XK,2010,total,1860.578,652.946,33.707,2516.715
XK,2011,total,1795.133,936.154,237.347,2540.771
XK,2012,total,1748.938,876.162,226.595,2383.784
XK,2013,total,1792.456,758.753,253.576,2312.354
XK,2014,total,1605.081,650.837,48.241,2217.18
XK,2015,total,1804.154,760.625,63.879,2524.38
XK,2016,total,2015.53,741.844,103.543,2703.587
XK,2017,total,1792.91,850.156,80.688,2568.576
XK,2018,total,1822.274,826.314,69.604,2584.929
BA,2002,total,:,:,:,:
BA,2003,total,:,:,:,:
BA,2004,total,:,:,:,:
BA,2005,total,:,:,:,:
BA,2006,total,:,:,:,:
BA,2007,total,:,:,:,:
BA,2008,total,:,:,:,:
BA,2009,total,:,:,:,:
BA,2010,total,:,:,:,:
BA,2011,total,:,:,:,:
BA,2012,total,:,:,:,:
BA,2013,total,:,:,:,:
BA,2014,total,4305.643,3144.139,1450.886,6002.622
BA,2015,total,4367.366,3314.086,1230.82,6183.064
BA,2016,total,4741.514,3433.859,1301.017,6767.126
BA,2017,total,4624.021,3496.328,1197.703,6754.465
BA,2018,total,5672.214,3403.558,1589.067,7478.331
RO,2002,total,29241.78,14046.728,4744.927,38318.955
RO,2003,total,29391.389,14091.027,3942.168,39927.117
RO,2004,total,28566.646,16590.15,4772.323,39345.51
RO,2005,total,27911.946,17028.364,6399.528,38686.289
RO,2006,total,27998.737,17563.953,5871.995,40097.996
RO,2007,total,27717.296,17368.933,4835.411,39804.924
RO,2008,total,28919.516,16499.304,5525.012,39619.844
RO,2009,total,28187.04,11472.225,4549.112,34791.721
RO,2010,total,27370.048,11444.66,3955.071,35005.562
RO,2011,total,27492.903,11885.777,4326.083,35751.372
RO,2012,total,27197.445,11901.495,4039.66,34984.567
RO,2013,total,25808.574,10395.612,4550.848,31867.864
RO,2014,total,26273.893,11092.63,5816.362,31585.358
RO,2015,total,26374.514,11415.142,6088.999,31872.952
RO,2016,total,24738.353,13199.694,6229.43,31794.949
RO,2017,total,25490.486,13772.35,5953.829,33534.594
RO,2018,total,25058.999,14289.135,6124.797,33596.073
NL,2002,total,61265.177,135817.546,102365.683,81081.64
NL,2003,total,59027.696,136510.599,98836.089,83918.798
NL,2004,total,68224.879,142381.403,110409.233,84866.033
NL,2005,total,62447.638,152904.449,115377.214,83701.918
NL,2006,total,61473.429,160348.12,121900.439,83051.422
NL,2007,total,60216.286,156303.469,118964.19,82746.819
NL,2008,total,67742.971,160734.422,127666.368,82152.172
NL,2009,total,62907.952,165431.59,133012.699,80545.345
NL,2010,total,71123.433,174961.161,146678.649,86153.712
NL,2011,total,66393.158,171379.19,143349.967,80558.696
NL,2012,total,66089.169,181126.487,152195.64,80606.543
NL,2013,total,69751.936,178973.46,157077.052,79104.25
NL,2014,total,60261.089,177752.956,150539.221,74995.782
NL,2015,total,47917.818,199943.73,157225.158,76180.523
NL,2016,total,46093.153,203056.59,161883.461,77739.37
NL,2017,total,41790.29,203262.677,156322.136,78995.081
NL,2018,total,36587.629,205906.25,152733.966,77895.969
HR,2002,total,4506.503,6957.892,2037.421,9020.008
HR,2003,total,4631.224,7068.804,2165.932,9650.216
HR,2004,total,4749.766,7603.411,2580.505,9657.839
HR,2005,total,4764.237,7828.137,2654.698,9818.612
HR,2006,total,5006.259,7767.969,2953.287,9774.016
HR,2007,total,4910.474,8169.312,2895.389,10157.839
HR,2008,total,4809.582,8388.025,2947.881,9915.818
HR,2009,total,4963.598,7663.976,3259.09,9567.919
HR,2010,total,5169.079,7612.677,3188.469,9470.35
HR,2011,total,4618.598,7202.093,2595.68,9258.339
HR,2012,total,4232.878,6853.612,2501.737,8725.282
HR,2013,total,4457.561,6818.312,2759.244,8554.936
HR,2014,total,4366.82,6423.646,2819.661,8149.82
HR,2015,total,4414.456,7194.183,3045.023,8502.669
HR,2016,total,4439.237,7501.309,3345.378,8578.133
HR,2017,total,4224.675,8211.843,3489.212,8880.107
HR,2018,total,4195.307,8043.178,3459.169,8677.236
UA,2002,total,76542.799,72463.945,13293.871,135712.873
UA,2003,total,75408.845,82366.764,16823.414,140952.194
UA,2004,total,78035.589,82140.102,17810.393,142064.246
UA,2005,total,78929.31,72340.113,12589.05,141228.928
UA,2006,total,80911.542,64276.83,8024,135626.388
UA,2007,total,82164.299,64986.457,7836.421,139717.262
UA,2008,total,81660.326,65275.462,8021.238,134981.935
UA,2009,total,76914.867,48514.333,7136.289,114624.852
UA,2010,total,77303.173,51268.498,9362.443,132572.876
UA,2011,total,81886.851,58038.835,10355.124,126644.01
UA,2012,total,84192.504,46504.802,8006.174,122650.314
UA,2013,total,83694.766,39786.011,8386.404,116114.105
UA,2014,total,71799.732,34394.326,6956.675,105654.063
UA,2015,total,64178.111,31445.664,1443.295,92898.57
UA,2016,total,63956.584,29103.758,1422.39,94364.111
UA,2017,total,58890.29,35094.392,1927.317,89767.891
UA,2018,total,60886.669,33794.421,1447.161,93851.206
GE,2002,total,:,:,:,:
GE,2003,total,:,:,:,:
GE,2004,total,:,:,:,:
GE,2005,total,:,:,:,:
GE,2006,total,:,:,:,:
GE,2007,total,:,:,:,:
GE,2008,total,:,:,:,:
GE,2009,total,:,:,:,:
GE,2010,total,:,:,:,:
GE,2011,total,:,:,:,:
GE,2012,total,:,:,:,:
GE,2013,total,1428.86,2934.757,110.899,4248.111
GE,2014,total,1372.05,3272.757,119.397,4522.765
GE,2015,total,1318.444,3866.756,403.394,4761.584
GE,2016,total,1376.68,3805.189,261.713,4920.516
GE,2017,total,1333.634,4004.176,362.665,4991.616
GE,2018,total,1251.346,3916.047,164.209,4956.793
AL,2002,total,945.602,1274.661,163.159,2083.024
AL,2003,total,1004.471,1156.491,121.151,2039.811
AL,2004,total,1169.259,1138.193,69.032,2238.419
AL,2005,total,1131.883,1164.435,45.619,2250.699
AL,2006,total,1218.87,990.592,109.225,2182.327
AL,2007,total,1050.021,1255.494,244.107,2056.525
AL,2008,total,1147.531,1319.671,254.355,2140.044
AL,2009,total,1250.541,1411.788,404.569,2171.27
AL,2010,total,1620.274,1375.504,753.59,2152.188
AL,2011,total,1483.194,1605.02,804.386,2245.308
AL,2012,total,1669.978,1291.798,975.667,2023.108
AL,2013,total,2034.031,1804.018,1200.424,2365.297
AL,2014,total,2013.445,1920.474,1238.249,2355.333
AL,2015,total,2073.399,1527.338,1246.949,2199.196
AL,2016,total,1960.857,1375.315,910.462,2271.639
AL,2017,total,1637.276,1573.606,653.112,2371.198
AL,2018,total,2000.523,1397.504,893.421,2353.235
SE,2002,total,31271.541,30686.633,10753.636,51718.96
SE,2003,total,30452.451,34028.934,11219.554,50608.09
SE,2004,total,33850.11,33058.482,12727.943,52675.628
SE,2005,total,34083.91,32886.86,12575.718,51680.968
SE,2006,total,32211.557,32313.923,12360.551,50367.538
SE,2007,total,32881.519,31153.053,12045.149,50100.014
SE,2008,total,32565.789,33696.047,13857.597,49847.277
SE,2009,total,29145.361,31089.531,13166.586,45084.384
SE,2010,total,32005.825,33951.499,14037.891,50708.838
SE,2011,total,33320.168,32578.57,13403.328,50924.086
SE,2012,total,35723.576,32310.871,16502.8,50859.8
