country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
AL,2002,bioenergy,"255,9949951171875","0,0","0,0","255,9949951171875","0,0"
AL,2002,biofuels,"0,0","0,0","0,0","0,0",
AL,2002,biogas,"0,0","0,0","0,0","0,0",
AL,2002,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2002,renewables,"559,3820190429688","0,0","0,0","559,3820190429688","0,0"
AL,2002,solid_biomass,"255,9949951171875","0,0","0,0","255,9949951171875","0,0"
AL,2002,total,"945,6019897460938","1274,6610107421875","163,15899658203125","2083,02392578125","0,5336002111434937"
AL,2003,bioenergy,"198,0030059814453","0,0","0,0","198,0030059814453","0,0"
AL,2003,biofuels,"0,0","0,0","0,0","0,0",
AL,2003,biogas,"0,0","0,0","0,0","0,0",
AL,2003,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2003,renewables,"620,0440063476562","0,0","0,0","620,0440063476562","0,0"
AL,2003,solid_biomass,"198,0030059814453","0,0","0,0","198,0030059814453","0,0"
AL,2003,total,"1004,4710083007812","1156,490966796875","121,1510009765625","2039,81103515625","0,5075666308403015"
AL,2004,bioenergy,"232,99400329589844","0,0","0,0","232,99400329589844","0,0"
AL,2004,biofuels,"0,0","0,0","0,0","0,0",
AL,2004,biogas,"0,0","0,0","0,0","0,0",
AL,2004,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2004,renewables,"704,3469848632812","0,0","0,0","704,3469848632812","0,0"
AL,2004,solid_biomass,"232,99400329589844","0,0","0,0","232,99400329589844","0,0"
AL,2004,total,"1169,259033203125","1138,1929931640625","69,03199768066406","2238,4189453125","0,47764116525650024"
AL,2005,bioenergy,"230,00900268554688","0,0","0,0","230,00900268554688","0,0"
AL,2005,biofuels,"0,0","0,0","0,0","0,0",
AL,2005,biogas,"0,0","0,0","0,0","0,0",
AL,2005,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2005,renewables,"694,2960205078125","0,0","0,0","694,2960205078125","0,0"
AL,2005,solid_biomass,"230,00900268554688","0,0","0,0","230,00900268554688","0,0"
AL,2005,total,"1131,883056640625","1164,43505859375","45,61899948120117","2250,698974609375","0,4970971345901489"
AL,2006,bioenergy,"230,00900268554688","0,0","0,0","230,00900268554688","0,0"
AL,2006,biofuels,"0,0","0,0","0,0","0,0",
AL,2006,biogas,"0,0","0,0","0,0","0,0",
AL,2006,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2006,renewables,"699,2830200195312","0,0","0,0","699,2830200195312","0,0"
AL,2006,solid_biomass,"230,00900268554688","0,0","0,0","230,00900268554688","0,0"
AL,2006,total,"1218,8699951171875","990,5919799804688","109,2249984741211","2182,326904296875","0,4038656949996948"
AL,2007,bioenergy,"215,00900268554688","0,0","0,0","215,00900268554688","0,0"
AL,2007,biofuels,"0,0","0,0","0,0","0,0",
AL,2007,biogas,"0,0","0,0","0,0","0,0",
AL,2007,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2007,renewables,"461,03900146484375","0,0","0,0","461,03900146484375","0,0"
AL,2007,solid_biomass,"215,00900268554688","0,0","0,0","215,00900268554688","0,0"
AL,2007,total,"1050,02099609375","1255,4940185546875","244,10699462890625","2056,52490234375","0,4917941987514496"
AL,2008,bioenergy,"215,00900268554688","0,0","0,0","215,00900268554688","0,0"
AL,2008,biofuels,"0,0","0,0","0,0","0,0",
AL,2008,biogas,"0,0","0,0","0,0","0,0",
AL,2008,ren_mun_waste,"0,0","0,0","0,0","0,0",
