country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
AL,2002,bioenergy,"10717,998455566407","0,0","0,0","10717,998455566407","0,0"
AL,2002,biofuels,"0,0","0,0","0,0","0,0",
AL,2002,biogas,"0,0","0,0","0,0","0,0",
AL,2002,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2002,renewables,"23420,206373291017","0,0","0,0","23420,206373291017","0,0"
AL,2002,solid_biomass,"10717,998455566407","0,0","0,0","10717,998455566407","0,0"
AL,2002,total,"39590,464106689455","53367,50719775391","6831,140868896485","87212,04572460939","0,5336002111434937"
AL,2003,bioenergy,"8289,989854431153","0,0","0,0","8289,989854431153","0,0"
AL,2003,biofuels,"0,0","0,0","0,0","0,0",
AL,2003,biogas,"0,0","0,0","0,0","0,0",
AL,2003,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2003,renewables,"25960,002457763672","0,0","0,0","25960,002457763672","0,0"
AL,2003,solid_biomass,"8289,989854431153","0,0","0,0","8289,989854431153","0,0"
AL,2003,total,"42055,192175537115","48419,96379785157","5072,350108886719","85402,80841992189","0,5075666308403015"
AL,2004,bioenergy,"9754,992929992677","0,0","0,0","9754,992929992677","0,0"
AL,2004,biofuels,"0,0","0,0","0,0","0,0",
AL,2004,biogas,"0,0","0,0","0,0","0,0",
AL,2004,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2004,renewables,"29489,599562255862","0,0","0,0","29489,599562255862","0,0"
AL,2004,solid_biomass,"9754,992929992677","0,0","0,0","9754,992929992677","0,0"
AL,2004,total,"48954,537202148436","47653,86423779297","2890,231678894043","93718,12440234376","0,47764116525650024"
AL,2005,bioenergy,"9630,016924438478","0,0","0,0","9630,016924438478","0,0"
AL,2005,biofuels,"0,0","0,0","0,0","0,0",
AL,2005,biogas,"0,0","0,0","0,0","0,0",
AL,2005,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2005,renewables,"29068,785786621094","0,0","0,0","29068,785786621094","0,0"
AL,2005,solid_biomass,"9630,016924438478","0,0","0,0","9630,016924438478","0,0"
AL,2005,total,"47389,67981542969","48752,56703320313","1909,9762702789308","94232,26466894531","0,4970971345901489"
AL,2006,bioenergy,"9630,016924438478","0,0","0,0","9630,016924438478","0,0"
AL,2006,biofuels,"0,0","0,0","0,0","0,0",
AL,2006,biogas,"0,0","0,0","0,0","0,0",
AL,2006,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2006,renewables,"29277,581482177735","0,0","0,0","29277,581482177735","0,0"
AL,2006,solid_biomass,"9630,016924438478","0,0","0,0","9630,016924438478","0,0"
AL,2006,total,"51031,64895556641","41474,105017822265","4573,032236114502","91369,66282910157","0,4038656949996948"
AL,2007,bioenergy,"9001,996924438477","0,0","0,0","9001,996924438477","0,0"
AL,2007,biofuels,"0,0","0,0","0,0","0,0",
AL,2007,biogas,"0,0","0,0","0,0","0,0",
AL,2007,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2007,renewables,"19302,78091333008","0,0","0,0","19302,78091333008","0,0"
AL,2007,solid_biomass,"9001,996924438477","0,0","0,0","9001,996924438477","0,0"
AL,2007,total,"43962,27906445313","52565,02356884766","10220,271651123048","86102,58461132813","0,4917941987514496"
AL,2008,bioenergy,"9001,996924438477","0,0","0,0","9001,996924438477","0,0"
AL,2008,biofuels,"0,0","0,0","0,0","0,0",
AL,2008,biogas,"0,0","0,0","0,0","0,0",
AL,2008,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2008,renewables,"22943,204024414063","0,0","0,0","22943,204024414063","0,0"
AL,2008,solid_biomass,"9001,996924438477","0,0","0,0","9001,996924438477","0,0"
AL,2008,total,"48044,82815332031","55251,9862866211","10649,334961120607","89599,35990234376","0,4978010058403015"
AL,2009,bioenergy,"8791,986765563965","0,0","0,0","8791,986765563965","0,0"
AL,2009,biofuels,"0,0","0,0","0,0","0,0",
AL,2009,biogas,"0,0","0,0","0,0","0,0",
AL,2009,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2009,renewables,"27793,610802246094","0,0","0,0","27793,610802246094","0,0"
AL,2009,solid_biomass,"8791,986765563965","0,0","0,0","8791,986765563965","0,0"
AL,2009,total,"52357,6512421875","59108,73847119141","16938,49490222168","90906,73317773438","0,46388471126556396"
AL,2010,bioenergy,"8582,982164428711","0,0","0,0","8582,982164428711","0,0"
AL,2010,biofuels,"0,0","0,0","0,0","0,0",
AL,2010,biogas,"0,0","0,0","0,0","0,0",
AL,2010,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2010,renewables,"36105,2035378418","0,0","0,0","36105,2035378418","0,0"
AL,2010,solid_biomass,"8582,982164428711","0,0","0,0","8582,982164428711","0,0"
AL,2010,total,"67837,63383544922","57589,602657714844","31551,307244384767","90107,80669335938","0,2889682650566101"
AL,2011,bioenergy,"8709,004614440919","0,0","0,0","8709,004614440919","0,0"
AL,2011,biofuels,"0,0","0,0","0,0","0,0",
AL,2011,biogas,"0,0","0,0","0,0","0,0",
AL,2011,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2011,renewables,"24074,184328857424","0,0","0,0","24074,184328857424","0,0"
AL,2011,solid_biomass,"8709,004614440919","0,0","0,0","8709,004614440919","0,0"
AL,2011,total,"62098,36512451172","67198,97817773437","33678,03247558594","94006,55975976563","0,356580913066864"
AL,2012,bioenergy,"8645,993070007326","0,0","0,0","8645,993070007326","0,0"
AL,2012,biofuels,"0,0","0,0","0,0","0,0",
AL,2012,biogas,"0,0","0,0","0,0","0,0",
AL,2012,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2012,renewables,"26149,99792895508","0,0","0,0","26149,99792895508","0,0"
AL,2012,solid_biomass,"8645,993070007326","0,0","0,0","8645,993070007326","0,0"
AL,2012,total,"69918,64004882812","54084,9975600586","40849,22562890625","84703,48709326172","0,15626005828380585"
AL,2013,bioenergy,"8435,983549987794","0,0","0,0","8435,983549987794","0,0"
AL,2013,biofuels,"0,0","0,0","0,0","0,0",
AL,2013,biogas,"0,0","0,0","0,0","0,0",
AL,2013,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2013,renewables,"33986,38988671875","0,0","0,0","33986,38988671875","0,0"
AL,2013,solid_biomass,"8435,983549987794","0,0","0,0","8435,983549987794","0,0"
AL,2013,total,"85160,81015332032","75530,62329345703","50259,34994677734","99030,2597841797","0,25518739223480225"
AL,2014,bioenergy,"8457,001239990235","1515,8310166625977","802,986407775879","9169,845848876954","0,07773790508508682"
AL,2014,biofuels,"0,0","1080,8224423599245","0,0","1080,8224423599245","1,0"
AL,2014,biogas,"0,0","0,0","0,0","0,0",
AL,2014,ren_mun_waste,"0,0","0,0","0,0","0,0",
AL,2014,renewables,"25983,992739990237","1515,8310166625977","802,986407775879","26696,837348876954","0,026701463386416435"
AL,2014,solid_biomass,"8457,001239990235","435,00853437423706","802,986407775879","8088,9811622314455","-0,04549125209450722"
