country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
AT,2002,bioenergy,"122271,89335200001","8231,2488","8517,123504000001","121985,97678000001","-0,0023435046514860567"
AT,2002,biofuels,"851,888196","0,0","0,0","851,888196","0,0"
AT,2002,biogas,"919,0026","0,0","0,0","919,0026","0,0"
AT,2002,ren_mun_waste,"1970,015004","0,0","0,0","1970,015004","0,0"
AT,2002,renewables,"271743,500376","6886,992924","7233,994908000001","271396,49839200004","-0,0012785794439351878"
AT,2002,solid_biomass,"118530,987552","6577,002252","7233,994908000001","117873,994896","-0,005573686177173037"
AT,2002,total,"411636,42075600004","1031844,2706360001","148136,394636","1297996,2996120001","0,6808246497036702"
AT,2003,bioenergy,"130620,874968","9013,552380000001","12662,34858","126972,078768","-0,028736996632676887"
AT,2003,biofuels,"864,8672760000001","0,0","0,0","864,8672760000001","0,0"
AT,2003,biogas,"1099,9979640000001","0,0","0,0","1099,9979640000001","0,0"
AT,2003,ren_mun_waste,"2263,0072680000003","0,0","0,0","2263,0072680000003","0,0"
AT,2003,renewables,"256125,940884","7141,00608","11343,004164","251923,94280000002","-0,01667962972195908"
AT,2003,solid_biomass,"126393,00246","6769,008900000001","11343,004164","121819,00719600002","-0,03754746791394134"
AT,2003,total,"397066,1892840001","1133283,275208","162500,426208","1366498,2510000002","0,7104164592157974"
AT,2004,bioenergy,"135261,69156","12976,023636000002","19684,323936","128553,433128","-0,052182972766822794"
AT,2004,biofuels,"1420,706844","0,0","0,0","1420,706844","0,0"
AT,2004,biogas,"1198,010952","0,0","0,0","1198,010952","0,0"
AT,2004,ren_mun_waste,"2872,9821600000005","0,0","0,0","2872,9821600000005","0,0"
AT,2004,renewables,"275750,81226","11190,981456","18229,997088","268711,83849600004","-0,02619540572308943"
AT,2004,solid_biomass,"129769,99160400001","10788,001956","18229,997088","122327,996472","-0,06083640169569376"
AT,2004,total,"412101,6161040001","1175827,108464","185661,09205200002","1392073,151328","0,7112887821070385"
AT,2005,bioenergy,"155325,54891600003","15944,841648000001","17032,279212","154084,413924","-0,007057414415298124"
AT,2005,biofuels,"2711,2460760000004","2072,382264","10,718208","4619,254572000001","0,4463196439739325"
AT,2005,biogas,"4961,232396","0,0","0,0","4961,232396","0,0"
AT,2005,ren_mun_waste,"3076,293168","0,0","0,0","3076,293168","0,0"
AT,2005,renewables,"301921,326756","13275,003024","14706,55368","300336,12054000003","-0,004766495130276349"
