Rok,CZ,AT,DK,NL,PL,SK
2002,"1158,110748","0,0","1503,982296","0,0","0,0","0,0"
2003,"1609,4896560000002","0,0","1692,0114839999999","0,0","0,0","0,0"
2004,"1939,3257600000002","0,0","2444,002632","282,73460400000005","0,0","423,24361200000004"
2005,"4866,8200560000005","10,718208","2631,989952","161,568612","2726,151084","1038,8288160000002"
2006,"4104,278172","236,34485999999998","2631,989952","0,0","2968,315596","701,3308680000001"
2007,"2441,8673640000006","3476,2163040000005","2631,989952","0,0","791,9750879999999","1770,8489280000001"
2008,"2933,5232880000003","4878,794304","3675,005568","3855,8753280000005","10,676340000000001","4453,959708"
2009,"2977,4428199999998","4862,800728","3112,508988","2293,989588","320,373936","4649,567004"
2010,"2980,58292","4846,0535279999995","2849,996628","12561,111756","540,222804","4096,700064000001"
2011,"1574,6554800000001","4005,0091439999997","2083,644756","9197,478504","1437,7471200000002","4468,278564000001"
2012,"2040,3951120000002","6704,1135","1687,48974","32708,035224000007","1913,4513360000003","3917,7143640000004"
2013,"3282,828012","7848,324072","1425,019248","44638,991712","6028,782660000001","3816,0169920000003"
2014,"3946,1008680000004","10661,016312000002","1503,019332","55943,97973200001","8755,603632","3508,370928"
2015,"6185,829527999999","12257,778096","1084,339332","53512,035084","15609,102156","4379,560272000001"
2016,"5253,680376","13235,437763999998","1203,3700560000002","48594,72222000001","29578,695300000003","5022,862092"
2017,"3922,571052","13576,285152","1765,238616","59713,690716","28146,977172000003","5049,825084"
2018,"5551,445592","16885,113192","2115,506304","45004,331880000005","14595,101064","5320,711044000001"
