Rok,CZ,AT,DK,NL,PL,SK
2002,"0,0","6577,002252","5899,996692000001","4085,9818560000003","0,0","0,0"
2003,"1078,017264","6769,008900000001","8395,999380000001","2792,0094480000002","0,0","0,0"
2004,"499,987656","10788,001956","11647,007712000002","7508,983932","0,0","0,0"
2005,"1359,9982439999999","10861,145352","16285,982112","12579,994224000002","0,0","0,0"
2006,"711,002376","16451,318844","17082,98136","9353,981088","0,0","0,0"
2007,"942,992964","18335,336976000002","18000,979128000003","11369,004192","0,0","2,0096640000000003"
2008,"915,988104","15230,5317","21752,016984","13720,017996","0,0","1,0048320000000002"
2009,"1583,992044","19126,851516","24049,984032","20055,986172","0,0","15,993576000000001"
2010,"2231,020116","20699,246124","35479,613088000006","23153,004","0,0","4,982292"
2011,"3033,001656","24176,383524","37013,112324","22245,012684","0,0","2,0096640000000003"
2012,"4008,986604","20238,405048","41344,35692400001","18944,013960000004","0,0","3,014496"
2013,"4740,001884","20241,419544000004","41974,679664","12975,981768","0,0","28,009692000000005"
2014,"4916,014956","18864,841572","43621,724916","5758,985267999999","33086,019528000004","6,991956000000001"
2015,"6011,993592","17021,22606","39598,712532","3749,991156","27342,985968","10,006452"
2016,"8731,990080000001","15138,003420000001","47705,906448","4189,981968","24305,00202","15,993576000000001"
2017,"10271,015892","14561,020512000001","63128,15172","3112,006572","16580,98404","221,984136"
2018,"8660,563272000001","15015,9582","61827,5223","4770,356184","21934,184652","134,98243200000002"
