Rok,CZ,AT,DK,NL,PL,SK
2002,"1659,6475200000002","8517,123504000001","3400,3096200000005","12583,134324","123,05005200000001","187,484904"
2003,"6993,337644","12662,34858","4719,612168000001","12441,327408000001","163,620144","327,40776000000005"
2004,"7222,983624","19684,323936","5433,210360000001","16008,983424","335,78136","684,206856"
2005,"10267,331508000001","17032,279212","6279,488244","15009,175584","3288,3964560000004","1995,135804"
2006,"11934,515268","15987,170196","5949,987084","15156,383472000001","3669,3533880000005","2368,556496"
2007,"11616,820884","20790,434628000003","5865,581196000001","16070,19444","1550,037096","3642,1810560000004"
2008,"13772,269260000001","22066,32006","7180,906284000001","19727,531712000004","824,8414680000001","6045,11118"
2009,"13348,397628000002","19871,222688","6683,59818","17547,255612","1510,3881000000001","6198,222456"
2010,"12055,848732","22766,897304000002","7842,588156000001","28665,554219999998","1644,114492","5555,7998640000005"
2011,"12660,715728000001","21366,580176","6721,404984000001","25446,616776000003","3450,4256160000004","6029,578152000001"
2012,"14065,931412000002","23760,215604000005","7268,870952","52751,795939999996","4748,459220000001","5993,152992"
2013,"17645,519808","21671,253612000004","6063,072552","67530,404448","8354,256984000001","5480,814276000001"
2014,"17655,065712000003","24624,03618","6462,995688000001","80574,79852800001","20292,959052000002","6214,216032"
2015,"21474,557748","27690,532236","6856,806096","76145,164128","34157,589120000004","7670,720016"
2016,"21756,622464000004","29437,181460000003","8931,114288","69180,212988","47354,340852","7922,849112000001"
2017,"21463,83954","31888,55286","13199,556888000001","80198,99136","40803,254892","8511,471324"
2018,"23004,498204","36676,912284000005","12966,059052000002","66122,96976","29267,992872","7719,873048"
