year,bioenergy,biofuels,biogas,ren_mun_waste,renewables,solid_biomass,total
2002,"11786,511887999999","119,700612","135,98726399999998","87,001704","31208,490936","11513,993076","780572,8824840002"
2003,"14156,952444","80,763372","157,005","536,9989680000001","27048,947004","13408,01766","776441,934396"
2004,"15423,082632","38,47669200000001","246,97933199999997","602,0199719999999","30548,065104000005","14540,002776","764497,2452040002"
2005,"16783,122744","439,488396","204,985728","730,010448","33852,497004000004","15358,982724","782887,1361840001"
2006,"18589,643208","1869,238728","317,98746","879,9816240000001","34953,206724","15628,989456","776260,6040880001"
2007,"23082,958836","2556,8368920000003","314,01","804,996036","39470,219639999996","19301,98536","743415,7023720002"
2008,"24398,744472","3104,260992","425,00206799999995","1035,018828","39296,006892000005","19801,010052","764616,485268"
2009,"31349,837304000004","3546,6801479999995","679,015224","1052,017236","47355,513156","25974,990936","698785,000524"
2010,"36024,190164","4089,9593160000013","600,010308","900,9993599999999","55462,581468","30344,000472000003","741547,133532"
2011,"38650,779144","4088,787012","1918,014948","735,9975720000001","54105,472116","31832,994024","719935,3743479999"
2012,"40143,87576","3807,308448000001","2594,015676","775,018548","56885,088636","32921,017739999996","692962,585236"
2013,"38914,380072","4147,485948000001","2300,0185800000004","653,0151960000002","59003,190755999996","31777,016507999997","701562,565512"
2014,"41806,53777600001","5604,65982","4024,9801800000014","484,998912","59450,885279999995","31474,980756000004","659743,425468"
2015,"50232,137832","6025,223880000001","6223,008312","625,0055040000002","65975,00824800001","36813,988116","680976,781668"
2016,"48431,730096","6060,602340000001","6356,985912","815,0024880000002","66018,38349600001","34573,003416","684346,778856"
2017,"49291,112664","6257,758752000002","6383,990772000001","1193,991624","66648,83184000001","34627,013136","722131,3928160002"
2018,"51295,08261600001","6276,5156160000015","6227,990604","628,9829639999999","66205,65906","37229,988564","713665,0133280002"
