Rok,CZ,AT,DK,NL,PL,SK
2002,"0,04038745330562064","0,09398021921669909","0,08349329985268576","0,01832133637158794","0,04427778271207348","0,015099822390052855"
2003,"0,037976551495495094","0,09291784945577658","0,08994953038147004","0,016872679706399035","0,04370893635157192","0,018233111604170116"
2004,"0,03970402591790158","0,09234675132220137","0,10158570773976655","0,019408106421093113","0,044999926106916215","0,020174150696755582"
2005,"0,041036578133401176","0,10705800493882985","0,11407141910741776","0,025387984538179875","0,04606567939292441","0,02143747414960144"
2006,"0,04240337723265341","0,123628237996023","0,10824732364781023","0,026730246713897326","0,04585498940076869","0,023947683432731053"
2007,"0,04533497598866899","0,13859092182983335","0,12294969849020176","0,026833321532275457","0,04691567724156459","0,031049867203974457"
2008,"0,050431467674126144","0,14388243096054046","0,12975101591198615","0,030869141232200165","0,053793874834433174","0,03190978084058465"
2009,"0,059954185135708944","0,15824903326870013","0,13974122040398565","0,035126561317727296","0,06280700986669613","0,04486335178988044"
2010,"0,060681655018942675","0,16231932031969756","0,15705065336309337","0,03315416055433572","0,06739974679730766","0,0485797713119276"
2011,"0,06835408868043585","0,1658847940471468","0,1660183282869121","0,03683478193341163","0,07295072441341408","0,05368645648090784"
2012,"0,07393571329834199","0,17388047629492723","0,18109322457853957","0,03835803999186518","0,0816335294379035","0,057930798307571446"
2013,"0,08040593872094211","0,17430256442686268","0,17992437281710846","0,03601549853516088","0,07901284558292473","0,05546815349761472"
2014,"0,08756828955463028","0,1754941371931291","0,19207993225158126","0,036585257554884884","0,08143756308038996","0,06336787327034572"
2015,"0,08972154318565563","0,17642404217642316","0,20818204625943512","0,03599212622890499","0,08149182152081205","0,07376483190654498"
2016,"0,09149129934355774","0,17298429478083","0,21377824984693086","0,03517376073410423","0,07374431964748075","0,07077074312669628"
2017,"0,08998598402196911","0,17041411180814212","0,23435081325854693","0,035738643017531685","0,06969373094465658","0,06825781728140357"
2018,"0,08989817783762694","0,16443002575127652","0,2366880693876484","0,039784176765295776","0,07180010382829279","0,07187557419523495"
