Rok,CZ,AT,DK,NL,PL,SK
2002,"0,8846247826244429","0,44947513141383916","0,7598835390870791","0,9518019873791363","0,9494686982836353","0,3776700357659357"
2003,"0,925465686607519","0,5040095727177544","0,7543824023270075","0,9277020891290076","0,9603637119291205","0,5233827565230716"
2004,"0,9018354211234206","0,47840628774498006","0,7524118705644938","0,9106248196264151","0,9527798221617395","0,5048791987149616"
2005,"0,8895514487003042","0,5130399022500471","0,7733439149712281","0,9359372219745992","0,9505892548201121","0,49577207678408214"
2006,"0,8848943560823175","0,5569048471514947","0,7708710939268391","0,9160330384814878","0,9526492754759162","0,531843711931465"
2007,"0,898576051752327","0,5696728010936366","0,77331202943811","0,8756901806616898","0,9449960559689619","0,5848196196153723"
2008,"0,902407027597884","0,5711993914574032","0,7850996164719596","0,8627956712678498","0,9510167710152135","0,6208962793358827"
2009,"0,8914645844844198","0,5647049352573288","0,7889393784128007","0,8542597633793563","0,9447359361101484","0,6620102964722692"
2010,"0,8707678683708168","0,5964896714611096","0,7926335262355978","0,8617354516445614","0,9386870606693888","0,6495224205311235"
2011,"0,8556018815632811","0,6193935072624932","0,76002837380802","0,8442256547285095","0,9307616525766812","0,714359890643487"
2012,"0,8552464811688147","0,5712446913149508","0,765913775307073","0,8539651719995027","0,9232154787210969","0,7057012078661816"
2013,"0,8507950981751621","0,5795196749942132","0,7351831319884721","0,8099548707673219","0,9038289595457326","0,6595300961421788"
2014,"0,8654349026955169","0,5724629996941624","0,7108277504847996","0,7794202200309523","0,8918146463096233","0,7032113580664244"
2015,"0,8665261988829598","0,5915555244052357","0,7152653201277346","0,738191992987187","0,8654541704941772","0,7613813043141644"
2016,"0,8655662520066649","0,5705376251788546","0,7342177916633352","0,711890035545218","0,8414469719311829","0,7336097543032759"
2017,"0,861096445940561","0,5710547668788258","0,7266768672286691","0,6716181223229442","0,8169161781446852","0,7395645400407065"
2018,"0,8567601580551609","0,5607730440823333","0,7339069753087047","0,670088868707836","0,8440032588417989","0,7747839587173804"
